entity:1kg_sub_sample_id	BAM_File_Path	BAM_File_Ref	BAM_INDEX_File_Ref	Sample
000d8958-abd4-4c0f-b16b-dabae2a973df	/bam_files/HG01965.mapped.ILLUMINA.bwa.PEL.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_85153a36-1d76-4c2d-90e4-682d55858e0e	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/1f7c3a89-78e1-4373-9cd9-90d11b683fa8/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG01965.mapped.ILLUMINA.bwa.PEL.low_coverage.20121211.bam.bai	HG01965
00130384-959c-4c08-8cc6-57ebf61746b9	/bam_files/HG01577.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_ac63ca59-ae34-46c9-8ee8-fb0be6bb6c96	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/8cbbe3db-9daa-4da2-b2c0-77d1856a7bdf/call-SamtoolsIndex/attempt-2/glob-6efbc60cb1e0959bab4e467327a9416c/HG01577.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam.bai	HG01577
003eadcc-06d8-4253-b39a-4a6a72a559b6	/bam_files/NA19625.mapped.ILLUMINA.bwa.ASW.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_ee63a3d5-a7ba-4580-a2ca-97bc3d9ca42c	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/8c22de9c-181f-4ea7-8a4f-26a63ee2b7e7/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19625.mapped.ILLUMINA.bwa.ASW.low_coverage.20120522.bam.bai	NA19625
00643184-a15a-4e1c-bcbe-6260459acff7	/bam_files/HG03823.mapped.ILLUMINA.bwa.BEB.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_d24bc12d-2ca2-47aa-b2db-40db41aad898	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/79fd5d0f-c96c-4aad-87ba-5459c0481f6a/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG03823.mapped.ILLUMINA.bwa.BEB.low_coverage.20121211.bam.bai	HG03823
0065ff0b-53a4-4feb-b861-1e3c5b202deb	/bam_files/NA20756.mapped.ILLUMINA.bwa.TSI.low_coverage.20130422.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_e933d193-ece2-4f9d-90c6-e56857ae9ca1	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/2b8eed13-7f06-4983-be86-dd4addab67d7/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA20756.mapped.ILLUMINA.bwa.TSI.low_coverage.20130422.bam.bai	NA20756
007c3aea-5f02-44b5-9d80-ced0e16bfaab	/bam_files/NA18633.mapped.ILLUMINA.bwa.CHB.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_da42c63d-9c47-47ae-a72c-d9e5df6c49ea	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/fbb7df4d-45dd-43b4-8130-0724e26fb18a/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA18633.mapped.ILLUMINA.bwa.CHB.low_coverage.20130415.bam.bai	NA18633
008513d4-b62b-44ce-8223-ec90d5acb83f	/bam_files/HG00740.mapped.ILLUMINA.bwa.PUR.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_3f06e20a-e8fa-4359-b2c3-59499527a19c	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/b173efd4-98f3-4c29-8465-cd993dc47251/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00740.mapped.ILLUMINA.bwa.PUR.low_coverage.20120522.bam.bai	HG00740
00860397-9a84-4a7e-83a8-1c47a88ff4aa	/bam_files/NA19090.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_fe3e3bea-675a-4bed-ae22-a440c5c523b2	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/65fe08ad-4af1-47c9-bbc0-fc3dad8a0daa/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19090.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam.bai	NA19090
00d546c0-7bee-4f10-a996-5af6a150cf05	/bam_files/HG02600.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_0e72127f-cad0-4dc8-8b07-98f63f8c1974	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/fe82fa46-cebb-433d-acf5-595573eaca54/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02600.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam.bai	HG02600
00d9fafd-956a-46cd-9b09-68c1036375d4	/bam_files/HG03731.mapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_971a8dd9-71a3-40b3-b890-0128a12cb76b	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/3afc949b-a752-4826-8a34-66796a482b41/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG03731.mapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam.bai	HG03731
